판매일시,파종일시,도,PC1,PC2,PC3,PC4,가격,도_num,파종연월,판매연월
2015-06-15,2015-02-15,대구광역시,4.991210224775115,0.76342734637999,-0.4665089078276135,-0.9701166844139054,18000.0,9,2015-02,2015-06
2015-06-15,2015-02-15,대전광역시,2.7372260442647742,0.5914425589137298,-0.15469163896409152,-0.3448607119067647,20000.0,7,2015-02,2015-06
2015-06-15,2015-02-15,부산광역시,4.728090604308973,2.46213157774497,0.5439318852009885,-0.1728726698847009,17000.0,13,2015-02,2015-06
2015-06-15,2015-02-15,서울특별시,3.976242402582105,-0.30005354719565164,-0.29337809844641327,0.43605960269743693,12000.0,3,2015-02,2015-06
2015-06-15,2015-02-15,울산광역시,3.6120656313885564,1.495919617838564,0.4335095751932449,0.6376116619755583,12000.0,10,2015-02,2015-06
2015-06-15,2015-02-15,인천광역시,3.553677791452904,0.18716130890144544,0.005315085706199572,0.6884619853317654,12000.0,2,2015-02,2015-06
2015-06-15,2015-02-15,전라남도,2.905268973403231,1.0951132239783659,0.10501014201177394,-0.12218659284301502,12000.0,14,2015-02,2015-06
2015-06-15,2015-02-15,전라북도,2.030466499885888,1.340571432695115,0.07229425669948064,-0.4087765714539483,12000.0,8,2015-02,2015-06
2015-06-15,2015-02-15,충청남도,1.403806565708743,0.9552518009897187,-0.11271647946562044,-0.610050323330565,12000.0,6,2015-02,2015-06
2015-06-15,2015-02-15,충청북도,3.357753908553539,0.9259507365380251,-0.03370820126053402,-0.09276579447426922,12000.0,5,2015-02,2015-06
2015-06-16,2015-02-16,강원도,0.8629659264429645,-0.08526901021736696,-0.2797375606862439,-0.4625752804172336,11000.0,0,2015-02,2015-06
2015-06-16,2015-02-16,경기도,0.8425138002429716,-0.5416898139134219,-0.3878020595381515,-0.23422978252068447,11000.0,1,2015-02,2015-06
2015-06-16,2015-02-16,경상남도,0.29473427948917386,0.5192000420322593,-0.08307965949351434,-0.6161676658704346,11000.0,11,2015-02,2015-06
2015-06-16,2015-02-16,경상북도,0.7011919359025283,-0.0015182622764715467,-0.023070176778125635,0.15921267955490406,11000.0,4,2015-02,2015-06
2015-06-16,2015-02-16,광주광역시,0.2863576185649187,-0.6234025245318344,-0.3330006668557827,-0.00331068888043862,18000.0,12,2015-02,2015-06
2015-06-16,2015-02-16,대구광역시,-0.16442340478471418,-0.26570547103387987,-0.257673589501287,-0.5045288686991142,18000.0,9,2015-02,2015-06
2015-06-16,2015-02-16,대전광역시,-0.3069776451805617,-0.8396811507291936,-0.45395145103448986,-0.5437744027048161,17000.0,7,2015-02,2015-06
2015-06-16,2015-02-16,부산광역시,0.7324325951959224,0.7744407787917268,0.3260984116190954,0.15846518171522514,17000.0,13,2015-02,2015-06
2015-06-16,2015-02-16,서울특별시,1.8354269304557798,-1.4475016903002644,-0.6000672989420377,0.20109721720804097,11000.0,3,2015-02,2015-06
2015-06-16,2015-02-16,울산광역시,1.5092000804420513,-0.14127819723082233,0.12314994137803285,0.724542038508445,11000.0,10,2015-02,2015-06
2015-06-16,2015-02-16,인천광역시,1.4577980753211832,-0.7250699084905612,-0.43274886798618245,-0.09809489861594828,11000.0,2,2015-02,2015-06
2015-06-16,2015-02-16,전라남도,0.13338652397733483,0.3087901542308457,0.039723896138125964,-0.04033914467291854,11000.0,14,2015-02,2015-06
2015-06-16,2015-02-16,전라북도,-0.29687934093428614,-0.11366739105627123,-0.22396619930737863,-0.4833683283545635,11000.0,8,2015-02,2015-06
